,ext,name
47,"{'', '.exe', '.bat', '.txt', '.png', '.yaml', '.json', '.sh', '.ico', '.pyc', '.py'}",xonsh-0.4.2-py34_0.tar.bz2
48,"{'', '.xsd', '.xml', '.yaml', '.json', '.egg-info', '.pyc', '.py'}",pycsw-2.0.0-py34_0.tar.bz2
49,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",pyasn1-modules-0.0.8-py27_0.tar.bz2
50,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",fire-0.1.1-py35_1.tar.bz2
51,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",flask-testing-0.6.1-py34_0.tar.bz2
52,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",concurrentloghandler-0.9.1-py36_0.tar.bz2
53,"{'', '.bat', '.yaml', '.hxx', '.json', '.sh', '.diff', '.template'}",graph-1.11-0.tar.bz2
54,"{'', '.exe', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",yapf-0.13.0-py35_0.tar.bz2
55,"{'', '.list', '.txt', '.py', '.yaml', '.json', '.dat', '.md', '.pyd', '.fits', '.pyc', '.cfg', '.template'}",sncosmo-1.5.1-np111py36_0.tar.bz2
56,"{'', '.pyx', '.txt', '.yaml', '.json', '.pyd', '.pxd', '.pyc', '.py', '.template'}",spacy-1.7.2-np112py36_vc14_0.tar.bz2
57,"{'', '.js', '.bat', '.txt', '.map', '.yaml', '.json', '.sh', '.rendered', '.pyc', '.py'}",bqplot-0.8.0-py35_0.tar.bz2
58,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",simhash-1.7.1-py27_0.tar.bz2
59,"{'', '.ts', '.gif', '.eot', '.sh', '.woff2', '.bat', '.map', '.json', '.pyc', '.py', '.template', '.html', '.exe', '.txt', '.svg', '.yaml', '.css', '.ttf', '.js', '.woff', '.manifest'}",jupyterlab-0.13.1-py35_1.tar.bz2
60,"{'', '.html', '.txt', '.yaml', '.json', '.egg-info', '.rendered', '.pyc', '.py'}",ftputil-3.3.1-py35_0.tar.bz2
61,"{'', '.chl', '.ar2v', '.png', '.egg-info', '.pyd', '.sh', '.bat', '.npz', '.json', '.pyc', '.py', '.template', '.exe', '.txt', '.yaml', '.cdf', '.bz2', '.mdv', '.uf', '.sigmet', '.nc'}",arm_pyart-1.8.0-np111py27_0.tar.bz2
62,"{'', '.yaml', '.json', '.egg-info', '.pyd', '.rendered', '.pyc', '.py'}",regex-2016.10.22-py35_0.tar.bz2
63,"{'', '.exe', '.txt', '.pyc', '.py', '.yaml', '.json', '.sh', '.cmd', '.rst', '.template'}",awscli-1.11.70-py27_0.tar.bz2
64,"{'', '.txt', '.yaml', '.json', '.rendered', '.pyc', '.py'}",slicerator-0.9.8-py35_0.tar.bz2
65,"{'', '.ts', '.gif', '.eot', '.sh', '.woff2', '.bat', '.map', '.json', '.pyc', '.py', '.template', '.html', '.exe', '.txt', '.svg', '.yaml', '.css', '.ttf', '.js', '.woff', '.manifest'}",jupyterlab-0.13.2-py35_1.tar.bz2
66,"{'', '.h', '.patch', '.a', '.bat', '.txt', '.la', '.dll', '.yaml', '.json', '.sh', '.pc', '.template'}",xorg-libice-1.0.9-vc9_2.tar.bz2
67,"{'', '.txt', '.yaml', '.json', '.pyc', '.py', '.template'}",python-mimeparse-1.6.0-py36_0.tar.bz2
68,"{'', '.yaml', '.json', '.egg-info', '.pyd', '.pyc', '.py', '.template'}",regex-2016.05.15-py27_0.tar.bz2
69,"{'', '.exe', '.txt', '.yaml', '.json', '.bash', '.pyc', '.py', '.template'}",snakebite-2.11.0-py27_0.tar.bz2
