,ext,name
47,"{'', '.sh', '.eot', '.manifest', '.txt', '.svg', '.woff', '.ttf', '.css', '.html', '.gif', '.py', '.woff2', '.js', '.ts', '.pyc', '.json', '.bat', '.map', '.yaml', '.template'}",jupyterlab-0.13.1-py35_1.tar.bz2
48,"{'', '.sh', '.txt', '.png', '.ico', '.py', '.rendered', '.pyc', '.json', '.bat', '.yaml'}",xonsh-0.4.2-py34_0.tar.bz2
49,"{'', '.sh', '.txt', '.py', '.so', '.cpg', '.shx', '.pyc', '.json', '.bat', '.dbf', '.yaml', '.shp'}",fiona-1.6.3-np110py27_3.tar.bz2
50,"{'', '.sh', '.eot', '.manifest', '.txt', '.svg', '.woff', '.ttf', '.css', '.html', '.gif', '.py', '.woff2', '.js', '.ts', '.pyc', '.json', '.bat', '.map', '.yaml', '.template'}",jupyterlab-0.13.2-py35_1.tar.bz2
51,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",conda-build-all-0.13.1-py35_0.tar.bz2
52,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",jpype1-0.6.2-np111py36_0.tar.bz2
53,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",python-mimeparse-1.5.2-py27_0.tar.bz2
54,"{'', '.xml', '.xsd', '.py', '.rendered', '.pyc', '.egg-info', '.json', '.yaml'}",pycsw-2.0.0-py34_0.tar.bz2
55,"{'', '.css', '.new_t', '.html', '.mo', '.bat_t', '.rst_t', '.conf', '.opf_t', '.pyc', '.py_t', '.cls', '.c', '.pickle', '.png', '.ncx_t', '.pot', '.sty', '.template', '.po', '.js_t', '.xml', '.txt', '.svg', '.gif', '.py', '.xhtml_t', '.js', '.pyx', '.ist', '.json', '.yaml', '.tex_t', '.css_t', '.rst'}",sphinx-1.6.3-py27_0.tar.bz2
56,"{'', '.sh', '.txt', '.h', '.cpp', '.py', '.so', '.json', '.yaml'}",bob.math-2.0.3-np111py35_nomkl_3.tar.bz2
57,"{'', '.sh', '.txt', '.py', '.rendered', '.js', '.pyc', '.json', '.bat', '.map', '.yaml'}",bqplot-0.8.0-py35_0.tar.bz2
58,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",yapf-0.13.0-py35_0.tar.bz2
59,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",libsemigroups-python-bindings-0.3.0-py27_0.tar.bz2
60,"{'', '.sh', '.txt', '.py', '.pyc', '.json', '.yaml', '.template', '.rst', '.cmd'}",awscli-1.11.70-py27_0.tar.bz2
61,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",unittest2pytest-0.3-py27_0.tar.bz2
62,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",concurrentloghandler-0.9.1-py36_0.tar.bz2
63,"{'', '.sh', '.cc', '.txt', '.h', '.patch', '.rendered', '.so', '.a', '.json', '.bat', '.hh', '.yaml', '.inl', '.2'}",openmesh-6.2-py35_0.tar.bz2
64,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",pyasn1-modules-0.0.8-py27_0.tar.bz2
65,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",fire-0.1.1-py35_1.tar.bz2
66,"{'', '.sh', '.cdf', '.txt', '.png', '.chl', '.sigmet', '.py', '.so', '.nc', '.bz2', '.pyc', '.egg-info', '.json', '.bat', '.yaml', '.mdv', '.template', '.ar2v', '.npz', '.uf'}",arm_pyart-1.8.0-np111py27_0.tar.bz2
67,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template', '.pth'}",ruamel_yaml-0.11.7-py27_1.tar.bz2
68,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",flask-testing-0.6.1-py34_0.tar.bz2
69,"{'', '.sh', '.txt', '.h', '.hpp', '.html', '.json', '.bat', '.yaml', '.template', '.cmake'}",pagmo-2.4-0.tar.bz2
70,"{'', '.fits', '.txt', '.md', '.py', '.so', '.pyc', '.json', '.yaml', '.list', '.template', '.dat', '.cfg'}",sncosmo-1.5.1-np111py36_0.tar.bz2
71,"{'', '.sh', '.txt', '.h', '.pxd', '.py', '.so', '.pyx', '.pyc', '.json', '.bat', '.yaml', '.template'}",pyarrow-0.4.0-np111py35_0.tar.bz2
72,"{'', '.sh', '.txt', '.py', '.so', '.rendered', '.pyc', '.json', '.yaml'}",slda-0.1.6-np111py34_0.tar.bz2
73,"{'', '.sh', '.diff', '.json', '.bat', '.yaml', '.hxx', '.template'}",graph-1.11-0.tar.bz2
74,"{'', '.txt', '.html', '.py', '.rendered', '.pyc', '.egg-info', '.json', '.yaml'}",ftputil-3.3.1-py35_0.tar.bz2
75,"{'', '.txt', '.diff', '.h', '.cpp', '.py', '.so', '.pyc', '.json', '.bat', '.yaml', '.template'}",george-0.3.0-np111py35_0.tar.bz2
76,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.bat', '.yaml', '.tmpl'}",conda-smithy-1.1.1-py27_0.tar.bz2
77,"{'', '.sh', '.h', '.so', '.pc', '.j2k', '.7', '.0', '.json', '.bat', '.yaml', '.cmake'}",openjpeg-2.1.0-3.tar.bz2
78,"{'', '.py', '.rendered', '.so', '.pyc', '.egg-info', '.json', '.yaml'}",regex-2016.10.22-py35_0.tar.bz2
79,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",simhash-1.7.1-py27_0.tar.bz2
80,"{'', '.sh', '.txt', '.py', '.rendered', '.js', '.pyc', '.json', '.bat', '.map', '.yaml'}",bqplot-0.7.1-py34_2.tar.bz2
81,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",python-mimeparse-1.6.0-py36_0.tar.bz2
82,"{'', '.txt', '.py', '.cml', '.pyc', '.json', '.yaml', '.template'}",iris-grib-0.10.1-py27_0.tar.bz2
83,"{'', '.sh', '.txt', '.info', '.json', '.yaml', '.template'}",time-1.7-0.tar.bz2
84,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",slicerator-0.9.8-py35_0.tar.bz2
85,"{'', '.sh', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",turbodbc-2.0.0-np112py36_0.tar.bz2
86,"{'', '.py', '.so', '.pyc', '.egg-info', '.json', '.yaml', '.template'}",regex-2016.05.15-py27_0.tar.bz2
87,"{'', '.sh', '.txt', '.krb', '.py', '.patch', '.LESSER', '.pyc', '.json', '.bat', '.yaml', '.template', '.cfg'}",iris-1.12.0-py27_2.tar.bz2
88,"{'', '.txt', '.py', '.pyc', '.json', '.bash', '.yaml', '.template'}",snakebite-2.11.0-py27_0.tar.bz2
89,"{'', '.txt', '.md', '.py', '.rendered', '.pyc', '.json', '.yaml'}",ipycache-0.1.4-py27_1.tar.bz2
90,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template', '.rst'}",ipywidgets-5.2.3-py35_0.tar.bz2
91,"{'', '.sh', '.py', '.so', '.pyc', '.egg-info', '.json', '.bat', '.yaml', '.template'}",tuiview-1.2.0-np112py27_0.tar.bz2
92,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml', '.dat'}",oceans-0.3.0-py27_0.tar.bz2
93,"{'', '.css', '.html', '.ipynb', '.so', '.pyc', '.bat', '.ttf', '.pdf', '.png', '.mplstyle', '.template', '.sh', '.txt', '.svg', '.gif', '.py', '.patch', '.js', '.json', '.yaml', '.ppm', '.afm', '.pth'}",matplotlib-2.0.0-np112py36_1.tar.bz2
94,"{'', '.sh', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",python-ecmwf_grib-1.19.0-np112py27_1.tar.bz2
95,"{'', '.xml', '.txt', '.py', '.rendered', '.j2', '.pyc', '.cdl', '.json', '.yaml', '.nc'}",compliance-checker-2.3.1-py34_0.tar.bz2
96,"{'', '.sh', '.txt', '.py', '.so', '.pyc', '.gz', '.json', '.yaml', '.template'}",scikit-sparse-0.4.2-np113py36_0.tar.bz2
97,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",flask-httpauth-3.2.0-py35_0.tar.bz2
98,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",frosted-1.4.1-py27_0.tar.bz2
99,"{'', '.c', '.txt', '.h', '.patch', '.py', '.rendered', '.so', '.a', '.pyc', '.json', '.yaml'}",ncephes-1.0.13-py35_0.tar.bz2
100,"{'', '.sh', '.txt', '.py', '.so', '.rendered', '.tif', '.pyc', '.json', '.bat', '.yaml'}",rasterio-1.0a2-np111py35_1.tar.bz2
101,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",pyflakes-1.5.0-py36_0.tar.bz2
102,"{'', '.c', '.txt', '.h', '.py', '.so', '.a', '.pyc', '.json', '.yaml', '.template'}",numpy-sugar-1.0.35-py35_0.tar.bz2
103,"{'', '.fits', '.npy', '.f', '.ini', '.so', '.pyc', '.bat', '.cfg', '.npz', '.c', '.h', '.a', '.sh', '.txt', '.py', '.patch', '.rendered', '.json', '.yaml', '.pkl', '.f90'}",numpy-1.11.2-py27_blas_openblas_201.tar.bz2
104,"{'', '.txt', '.py', '.mako', '.pyc', '.json', '.yaml', '.template'}",alembic-0.8.10-py35_1.tar.bz2
105,"{'', '.jpx', '.txt', '.jp2', '.py', '.tif', '.j2k', '.pyc', '.json', '.yaml', '.template'}",glymur-0.8.4-py35_0.tar.bz2
106,"{'', '.txt', '.pxd', '.so', '.py', '.pyx', '.pyc', '.json', '.yaml', '.template'}",cymem-1.31.2-py36_0.tar.bz2
107,"{'', '.txt', '.doctest', '.py', '.pyc', '.json', '.yaml', '.template'}",nltk-3.2.4-py35_0.tar.bz2
108,"{'', '.txt', '.py', '.so', '.pyc', '.json', '.yaml', '.template'}",pykdtree-1.2.2-np113py27_0.tar.bz2
109,"{'', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",rednose-1.2.2-py36_0.tar.bz2
110,"{'', '.xml', '.txt', '.py', '.pyc', '.json', '.yaml', '.template'}",textblob-0.11.1-py27_0.tar.bz2
111,"{'', '.sh', '.txt', '.exe', '.py', '.pyc', '.json', '.bat', '.yaml', '.template'}",conda-build-2.1.4-py35_0.tar.bz2
112,"{'', '.sh', '.txt', '.h', '.a', '.json', '.bat', '.yaml', '.template', '.cmake'}",cryptopp-5.6.5-0.tar.bz2
113,"{'', '.css', '.eot', '.ttf', '.txt', '.png', '.woff', '.svg', '.html', '.py', '.woff2', '.template', '.js', '.pyc', '.json', '.conf', '.map', '.yaml', '.css_t', '.js_t'}",sphinx_bootstrap_theme-0.5.1-py27_0.tar.bz2
114,"{'', '.txt', '.py', '.rendered', '.pyc', '.json', '.yaml'}",px4tools-0.4.5-py35_0.tar.bz2
