,ext,name
48,"{'', '.json', '.yaml', '.sh', '.cpg', '.bat', '.dbf', '.txt', '.shp', '.so', '.py', '.shx', '.pyc'}",fiona-1.6.3-np110py27_3.tar.bz2
49,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",bagit-1.5.5-py35_0.tar.bz2
50,"{'', '.json', '.yaml', '.sh', '.template', '.txt', '.so', '.py', '.pyc'}",turbodbc-2.0.0-np112py36_0.tar.bz2
51,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.ico', '.png', '.py', '.pyc'}",xonsh-0.4.2-py34_0.tar.bz2
52,"{'', '.json', '.yaml', '.xsd', '.xml', '.py', '.pyc', '.egg-info'}",pycsw-2.0.0-py34_0.tar.bz2
53,"{'', '.svg', '.txt', '.ncx_t', '.pyx', '.new_t', '.c', '.ist', '.xhtml_t', '.png', '.js_t', '.po', '.opf_t', '.py_t', '.sty', '.mo', '.rst_t', '.json', '.yaml', '.js', '.xml', '.bat_t', '.pyc', '.css', '.gif', '.pot', '.template', '.conf', '.css_t', '.pickle', '.rst', '.html', '.tex_t', '.py', '.cls'}",sphinx-1.6.3-py27_0.tar.bz2
54,"{'', '.json', '.yaml', '.sh', '.h', '.txt', '.dylib', '.so', '.py', '.cpp'}",bob.math-2.0.3-np111py35_nomkl_3.tar.bz2
55,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",conda-build-all-0.13.1-py35_0.tar.bz2
56,"{'', '.json', '.yaml', '.h', '.template', '.txt', '.so', '.py', '.pyc'}",python-igraph-0.7.1.post6-py34_0.tar.bz2
57,"{'', '.json', '.yaml', '.txt', '.py', '.pyc'}",python-mimeparse-1.5.2-py27_0.tar.bz2
58,"{'', '.bz2', '.json', '.yaml', '.sh', '.npz', '.chl', '.sigmet', '.bat', '.template', '.txt', '.mdv', '.uf', '.so', '.ar2v', '.png', '.py', '.nc', '.cdf', '.pyc', '.egg-info'}",arm_pyart-1.8.0-np111py27_0.tar.bz2
59,"{'', '.json', '.yaml', '.gz', '.txt', '.template', '.so', '.py', '.pyc'}",pyabel-0.7.6-np112py27_0.tar.bz2
60,"{'', '.json', '.yaml', '.svg', '.sh', '.ttf', '.gif', '.bat', '.txt', '.template', '.js', '.html', '.ts', '.pyc', '.woff', '.eot', '.manifest', '.py', '.woff2', '.map', '.css'}",jupyterlab-0.13.2-py35_1.tar.bz2
61,"{'', '.json', '.yaml', '.sh', '.inl', '.h', '.bat', '.txt', '.patch', '.dylib', '.rendered', '.so', '.hh', '.cc', '.a'}",openmesh-6.2-py35_0.tar.bz2
62,"{'', '.json', '.yaml', '.template', '.txt', '.so', '.py', '.pyc'}",libsemigroups-python-bindings-0.3.0-py27_0.tar.bz2
63,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",unittest2pytest-0.3-py27_0.tar.bz2
64,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",pyasn1-modules-0.0.8-py27_0.tar.bz2
65,"{'', '.json', '.yaml', '.template', '.txt', '.pth', '.so', '.py', '.pyc'}",ruamel_yaml-0.11.7-py27_1.tar.bz2
66,"{'', '.json', '.yaml', '.svg', '.sh', '.ttf', '.gif', '.bat', '.txt', '.template', '.js', '.html', '.ts', '.pyc', '.woff', '.eot', '.manifest', '.py', '.woff2', '.map', '.css'}",jupyterlab-0.13.1-py35_1.tar.bz2
67,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",fire-0.1.1-py35_1.tar.bz2
68,"{'', '.json', '.yaml', '.sh', '.bat', '.txt', '.js', '.rendered', '.pyc', '.py', '.map'}",bqplot-0.8.0-py35_0.tar.bz2
69,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",concurrentloghandler-0.9.1-py36_0.tar.bz2
70,"{'', '.json', '.yaml', '.sh', '.template', '.txt', '.rst', '.cmd', '.py', '.pyc'}",awscli-1.11.70-py27_0.tar.bz2
71,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",yapf-0.13.0-py35_0.tar.bz2
72,"{'', '.json', '.yaml', '.txt', '.rendered', '.py', '.pyc'}",flask-testing-0.6.1-py34_0.tar.bz2
73,"{'', '.json', '.yaml', '.sh', '.txt', '.rendered', '.so', '.py', '.pyc'}",slda-0.1.6-np111py34_0.tar.bz2
74,"{'', '.json', '.yaml', '.sh', '.template', '.bat', '.hxx', '.diff'}",graph-1.11-0.tar.bz2
75,"{'', '.json', '.yaml', '.template', '.txt', '.cfg', '.list', '.md', '.so', '.pyc', '.dat', '.py', '.fits'}",sncosmo-1.5.1-np111py36_0.tar.bz2
76,"{'', '.json', '.yaml', '.sh', '.cmake', '.h', '.hpp', '.bat', '.txt', '.template', '.html'}",pagmo-2.4-0.tar.bz2
77,"{'', '.json', '.yaml', '.txt', '.rendered', '.html', '.py', '.pyc', '.egg-info'}",ftputil-3.3.1-py35_0.tar.bz2
78,"{'', '.json', '.yaml', '.rendered', '.so', '.py', '.pyc', '.egg-info'}",regex-2016.10.22-py35_0.tar.bz2
79,"{'', '.json', '.yaml', '.template', '.txt', '.py', '.pyc'}",simhash-1.7.1-py27_0.tar.bz2
80,"{'', '.pdf', '.svg', '.ttf', '.txt', '.so', '.nib', '.ipynb', '.sh', '.patch', '.afm', '.png', '.json', '.yaml', '.xpm', '.bat', '.js', '.mplstyle', '.TXT', '.pyc', '.css', '.gif', '.ppm', '.html', '.py'}",matplotlib-1.5.2-np111py27_3.tar.bz2
